text,cleaned_text,rating,sentiment_label,tokens_word,tokens_subword
"Âm thanh:tai nghe âm thanh rõ ràng Thiết kế:thiết kế ổn Độ bền:độ bền tốt Hình ảnh và video chỉ manh tính chất nhận xu, hàng giao nhanh và chất lượng tốt.","âm_thanh tai nghe âm_thanh rõ_ràng thiết_kế thiết_kế ổn_độ bền_độ bền tốt hình_ảnh và video chỉ_manh tính_chất_lượng nhận xu , hàng giao nhanh và chất_lượng lượng tốt .",5,tích cực,"âm_thanh tai nghe âm_thanh rõ_ràng thiết_kế thiết_kế ổn_độ bền_độ bền tốt hình_ảnh và video chỉ_manh tính_chất_lượng nhận xu , hàng giao nhanh và chất_lượng_lượng tốt .","âm_thanh tai nghe âm_thanh rõ_ràng thiết_kế thiết_kế ổ@@ n_độ bề@@ n_độ bền tốt hình_ảnh và video chỉ_@@ manh tính_@@ chất_lượng nhận xu , hàng giao nhanh và chất_lượng lượng tốt ."
"Sản phẩm tốt đẹp ơi là đẹp, mua lúc sale nên rất hời, sẽ mua thêm ạ, đóng gói săn chắn Quá đẹp . Đẹp mà rẻ . Hơn cả mong đợi . 😍😍😘😘😘👍👍👍","sản_phẩm tốt_đẹp ơi là đẹp , mua lúc sale nên rất hời , sẽ mua thêm ạ , đóng_gói săn_chắn quá đẹp . đẹp mà rẻ . hơn cả mong_đợi . tuyệt_vời tuyệt_vời yêu_thích yêu_thích yêu_thích tốt tốt tốt",5,tích cực,"sản_phẩm tốt_đẹp ơi là đẹp , mua lúc sale nên rất hời , sẽ mua thêm ạ , đóng_gói săn_chắn quá đẹp . đẹp mà rẻ . hơn cả mong_đợi . tuyệt_vời tuyệt_vời yêu_thích yêu_thích yêu_thích tốt tốt tốt","sản_phẩm tốt_đẹp ơi là đẹp , mua lúc sale nên rất hời , sẽ mua thêm ạ , đóng_gói săn_@@ chắn quá đẹp . đẹp mà rẻ . hơn cả mong_đợi . tuyệt_vời tuyệt_vời yê@@ u_th@@ ích yê@@ u_th@@ ích yê@@ u_th@@ ích tốt tốt tốt"
Âm thanh:âm nghe trầm Thiết kế:đẹp mắt Độ bền:ổn Sản phẩm tuyệt vời nhiều điều yêu thương và đáng giá,âm_thanh âm nghe trầm_thiết_kế đẹp mắt_độ bền_ổn sản_phẩm tuyệt_vời nhiều điều yêu_thương và đáng_giá,5,tích cực,âm_thanh âm nghe trầm_thiết_kế đẹp mắt_độ bền_ổn sản_phẩm tuyệt_vời nhiều điều yêu_thương và đáng_giá,âm_thanh âm nghe trầ@@ m_th@@ iết_kế đẹp mắt_@@ độ bền_@@ ổn sản_phẩm tuyệt_vời nhiều điều yêu_thương và đáng_giá
Chất lượng sản phẩm:ok Đúng với mô tả:tốt Dây sạc nhanh và có vẻ chắc chắn. Tuy nhiên dùng một thời gian mới biết có bền không,chất_lượng lượng sản_phẩm ok đúng với mô_tả tốt dây sạc nhanh và có_vẻ chắc_chắn . tuy_nhiên dùng một thời_gian mới biết có bền không,5,tích cực,chất_lượng lượng sản_phẩm ok đúng với mô_tả tốt dây sạc nhanh và có_vẻ chắc_chắn . tuy_nhiên dùng một thời_gian mới biết có bền không,chất_lượng lượng sản_phẩm ok đúng với mô_tả tốt dây sạc nhanh và có_vẻ chắc_chắn . tuy_nhiên dùng một thời_gian mới biết có bền không
Hàng chất lượng tốt sẽ mang lại niềm tin cậy cho người tiêu dùng nhanh chóng chốt đơn tự tin hơn . Đánh giá 5 sao cho shop,hàng chất_lượng lượng tốt sẽ mang lại niềm tin_cậy cho người tiêu_dùng nhanh_chóng chốt đơn tự_tin hơn . đánh_giá 5 sao cho shop,5,tích cực,hàng chất_lượng_lượng tốt sẽ mang lại niềm tin_cậy cho người tiêu_dùng nhanh_chóng chốt đơn tự_tin hơn . đánh_giá 5 sao cho shop,hàng chất_lượng lượng tốt sẽ mang lại niềm tin_cậy cho người tiêu_dùng nhanh_chóng chốt đơn tự_tin hơn . đánh_giá 5 sao cho shop
"Tính năng nổi bật:tot Chất lượng sản phẩm:tot Tai nghe nghe rõ tiếng chân vị trí rõ ràng , mở mic ko bị nhỏ tiếng","tính_năng nổi_bật tot chất_lượng lượng sản_phẩm tot_tai nghe nghe rõ tiếng chân vị_trí rõ_ràng , mở mic không bị nhỏ tiếng",5,tích cực,"tính_năng nổi_bật tot chất_lượng_lượng sản_phẩm tot_tai nghe nghe rõ tiếng chân vị_trí_rõ_ràng , mở mic không bị nhỏ tiếng","tính_năng nổi_bật to@@ t chất_lượng lượng sản_phẩm to@@ t_tai nghe nghe rõ tiếng chân vị_trí rõ_ràng , mở mic không bị nhỏ tiếng"
Mnh săn sale được mã freeship đặt không tốn tiền ship lúc đầu khi mua với tầm giá rẻ như thế này thì chất lượng sản phẩm cũng oke rồi nha mng 👌👌👌👌😁,mnh săn sale được mã freeship đặt không tốn tiền ship lúc đầu khi mua với tầm giá rẻ như thế_này thì chất_lượng lượng sản_phẩm cũng oke rồi nha mọi người,5,tích cực,mnh săn sale được mã freeship đặt không tốn tiền ship lúc đầu khi mua với tầm giá rẻ như thế_này thì chất_lượng_lượng sản_phẩm cũng oke rồi nha mọi người,m@@ nh săn sale được mã fre@@ es@@ hip đặt không tốn tiền ship lúc đầu khi mua với tầm giá rẻ như thế_này thì chất_lượng lượng sản_phẩm cũng o@@ ke rồi nha mọi người
"Shop đóng gói cẩn thận, giao hàng khá nhanh,giao đúng mẫu mã, sản phẩm ok nên mua nha mng ✅✅✅","shop đóng_gói cẩn_thận , giao hàng khá nhanh , giao đúng mẫu_mã , sản_phẩm ok nên mua nha mọi người",5,tích cực,"shop đóng_gói cẩn_thận , giao hàng khá nhanh , giao đúng mẫu_mã , sản_phẩm_ok nên mua nha mọi người","shop đóng_gói cẩn_thận , giao hàng khá nhanh , giao đúng mẫu_mã , sản_phẩm ok nên mua nha mọi người"
Giáo hàng nhanh lắm ạ Phù hợp với giá tiền Đóng gói cẩn thận lắm ạ Mọi người hãy mua ủng hộ shop nha ạ Thanks you very much,giáo hàng nhanh lắm ạ phù_hợp với giá tiền đóng_gói cẩn_thận lắm ạ mọi người hãy mua ủng_hộ shop nha ạ thanks you very much,5,tích cực,giáo hàng nhanh lắm ạ phù_hợp với giá tiền đóng_gói cẩn_thận lắm ạ mọi người hãy mua ủng_hộ shop nha ạ thanks you very much,giáo hàng nhanh lắm ạ phù_hợp với giá tiền đóng_gói cẩn_thận lắm ạ mọi người hãy mua ủng_hộ shop nha ạ than@@ ks you very mu@@ ch
"Sắp hàng nhanh, chất lượng rất tốt. Sản phẩm siêu đẹp. Mọi người lên mua, tốt nhất là mọi người lên mua.","sắp hàng nhanh , chất_lượng lượng rất tốt . sản_phẩm siêu_đẹp . mọi người lên mua , tốt nhất là mọi người lên mua .",5,tích cực,"sắp hàng nhanh , chất_lượng_lượng rất tốt . sản_phẩm siêu_đẹp . mọi người lên mua , tốt nhất là mọi người lên mua .","sắp hàng nhanh , chất_lượng lượng rất tốt . sản_phẩm siêu_@@ đẹp . mọi người lên mua , tốt nhất là mọi người lên mua ."
