text,cleaned_text,rating,sentiment_label,tokens_word,tokens_subword
Đọc quá trời hay luôn á 5⭐️ Kh có ảnh nên lấy đại,đọc quá trời hay luôn á 5 tuyệt_vời không có ảnh nên lấy đại,5,tích cực,đọc quá trời hay luôn á 5 tuyệt_vời không có ảnh nên lấy đại,đọc quá trời hay luôn á 5 tuyệt_vời không có ảnh nên lấy đại
"Hay nha, sẽ ủng hộ dài dài, đóng gói oki","hay nha , sẽ ủng_hộ dài_dài , đóng_gói oki",5,tích cực,"hay nha , sẽ ủng_hộ dài_dài , đóng_gói oki","hay nha , sẽ ủng_hộ dài_dài , đóng_gói o@@ ki"
"Nội dung gần gũi, sách đẹp, giao hàng nhanh, đóng gói cẩn thận.","nội_dung gần_gũi , sách_đẹp , giao hàng nhanh , đóng_gói cẩn_thận .",5,tích cực,"nội_dung gần_gũi , sách_đẹp , giao hàng nhanh , đóng_gói cẩn_thận .","nội_dung gần_gũi , sách_@@ đẹp , giao hàng nhanh , đóng_gói cẩn_thận ."
"Date xa , tui rất thích .Cả 3 loại dòng LipIce Sheer Color tui xài hết rồi ,mùi nào cũng ưng.Không có gì để chê.Cảm ơn Tiki . 🌈♥️🇻🇳♥️💚💙🩵🩵🧡🩷🤍💛💛🍀🌻","hạn sử_dụng xa , tui rất thích . cả 3 loại dòng lipice sheer color tui dùng hết rồi , mùi nào cũng ưng . không có gì để chê . cảm_ơn tiki .",5,tích cực,"hạn sử_dụng xa , tui rất thích . cả 3 loại dòng lipice sheer color tui dùng hết rồi , mùi nào cũng ưng . không có gì để chê . cảm_ơn tiki .","hạn sử_dụng xa , tui rất thích . cả 3 loại dòng lip@@ ice she@@ er color tui dùng hết rồi , mùi nào cũng ưng . không có gì để chê . cảm_ơn ti@@ ki ."
"Điện thoại đag bị hư k up ảnh sản phẩm đc 🤭 nhưng Tiki gửi hàng date xa , bao bì sạch sẽ ko bụi , chống sốc đàng hoàng .Đơn hàng nhỏ nhưng chỉn chu.Cảm ơn & chúc Tiki luôn đông khách 🌈🇻🇳♥️💚💙🩵🧡🩷🤍💛🍀🌻🇻🇳","điện_thoại đag bị hư không up_ảnh sản_phẩm được nhưng tiki gửi hàng hạn sử_dụng xa , bao_bì sạch_sẽ không bụi , chống sốc đàng_hoàng . đơn hàng nhỏ nhưng chỉn_chu . cảm_ơn chúc_tiki luôn đông khách",5,tích cực,"điện_thoại đag bị hư không up_ảnh sản_phẩm được nhưng tiki gửi hàng hạn sử_dụng xa , bao_bì sạch_sẽ không bụi , chống sốc đàng_hoàng . đơn hàng nhỏ nhưng chỉn_chu . cảm_ơn chúc_tiki luôn đông khách","điện_thoại đa@@ g bị hư không u@@ p_@@ ảnh sản_phẩm được nhưng ti@@ ki gửi hàng hạn sử_dụng xa , bao_bì sạch_sẽ không bụi , chống sốc đàng_hoàng . đơn hàng nhỏ nhưng chỉn_chu . cảm_ơn chú@@ c_t@@ iki luôn đông khách"
rất thích son nầy dưỡng môi không bị khô,rất thích son_nầy dưỡng_môi không bị khô,5,tích cực,rất thích son_nầy dưỡng_môi không bị khô,rất thích so@@ n_n@@ ầy dưỡng_@@ môi không bị khô
"Sản phẩm dùng được, nhưng giáo hàng chậm 4 ngày","sản_phẩm dùng được , nhưng giáo_hàng chậm 4 ngày",4,tích cực,"sản_phẩm dùng được , nhưng giáo_hàng chậm 4 ngày","sản_phẩm dùng được , nhưng giáo_@@ hàng chậm 4 ngày"
Duong am moi hieu qua Toi mua rat nhieu lan vi toi tin tuong Tiki shop ... Thanks Tiki ...,duong am_moi hieu qua toi mua rat nhieu lan vi_toi tin tuong tiki shop . thanks tiki .,5,tích cực,duong am_moi hieu qua toi mua rat nhieu lan vi_toi tin tuong tiki shop . thanks tiki .,du@@ ong am_@@ moi hi@@ eu qua toi mua rat nhi@@ eu lan v@@ i_t@@ oi tin tu@@ ong ti@@ ki shop . than@@ ks ti@@ ki .
"Mềm môi, dưỡng ẩm tốt, màu sáng nhẹ, ưa nhìn","mềm môi , dưỡng ẩm_tốt , màu sáng nhẹ , ưa nhìn",5,tích cực,"mềm môi , dưỡng_ẩm_tốt , màu sáng nhẹ , ưa nhìn","mềm môi , dưỡng ẩ@@ m_t@@ ốt , màu sáng nhẹ , ưa nhìn"
"Dưỡng ẩm hiệu quả, màu tự nhiên","dưỡng ẩm hiệu_quả , màu tự_nhiên",5,tích cực,"dưỡng ẩm_hiệu_quả , màu tự_nhiên","dưỡng ẩm hiệu_quả , màu tự_nhiên"
