text,cleaned_text,rating,sentiment_label,tokens_word,tokens_subword,source
Mất nút,mất nút,3,trung lập,mất nút,mất nút,all_bad_reviews
Đúng với mô tả:giao sai sản phẩm,đúng với mô_tả giao sai sản_phẩm,3,tiêu cực,đúng với mô_tả giao sai sản_phẩm,đúng với mô_tả giao sai sản_phẩm,all_bad_reviews
ok5sao,ok5sao,5,tích cực,ok5sao,ok@@ 5@@ sao,all_reviews
"Âm thanh:huu Giảm tiếng ồn:hụ Độ bền:hụ Hàng đẹp lắm shop ơi, đã mua rất nhiều lần rồi Shop vui vẻ nhiệt tình Shop hàng nhanh, shipper cực kỳ thân thiện","âm_thanh huu giảm tiếng ồn hụ_độ bền_hụ hàng đẹp lắm shop ơi , đã mua rất nhiều lần rồi shop vui_vẻ nhiệt_tình shop hàng nhanh , shipper cực_kỳ thân_thiện",5,tích cực,"âm_thanh huu giảm tiếng ồn_hụ_độ bền_hụ hàng đẹp lắm shop ơi , đã mua rất nhiều lần rồi shop vui_vẻ nhiệt_tình shop hàng nhanh , shipper cực_kỳ thân_thiện","âm_thanh hu@@ u giảm tiếng ồn h@@ ụ_@@ độ bền_@@ h@@ ụ hàng đẹp lắm shop ơi , đã mua rất nhiều lần rồi shop vui_vẻ nhiệt_tình shop hàng nhanh , shipper cực_kỳ thân_thiện",all_good_reviews
"Đúng với mô tả:85% Màu sắc:trắng nhận hàng có vết bẩn, vải khá mịn nhưng mỏng, đây còn premium ấy chứ hàng thường thì ko biết như nào nữa, ncl ko ưng mấy, mua để tặng mà như vầy thì chắc phải mua cái khác rồi, nói chung là ko ưng mấy","đúng với mô_tả 85 màu_sắc trắng nhận hàng có vết bẩn , vải khá mịn nhưng mỏng , đây còn premium ấy chứ hàng thường thì không biết như nào nữa , ncl không ưng mấy , mua để tặng mà như_vầy thì chắc phải mua cái khác rồi , nói_chung là không ưng mấy",3,tích cực,"đúng với mô_tả 85 màu_sắc trắng nhận hàng có vết bẩn , vải khá mịn nhưng mỏng , đây còn premium ấy chứ hàng thường thì không biết như nào nữa , ncl không ưng mấy , mua để tặng mà như_vầy thì chắc phải mua cái khác rồi , nói_chung là không ưng mấy","đúng với mô_tả 85 màu_sắc trắng nhận hàng có vết bẩn , vải khá mịn nhưng mỏng , đây còn pre@@ mium ấy chứ hàng thường thì không biết như nào nữa , n@@ c@@ l không ưng mấy , mua để tặng mà như_@@ vầy thì chắc phải mua cái khác rồi , nói_chung là không ưng mấy",all_bad_reviews
Ok bth,ok bth,4,tích cực,ok bth,ok b@@ th,all_good_reviews
Chất lượng sản phẩm:ngon tuyeetj v Đúng với mô tả:ngon lắm nhé các bạn đừng mua nhé vì mua rồi nó ngon nắm nhé các ae của tôi,chất_lượng lượng sản_phẩm ngon_tuyeetj vậy đúng với mô_tả ngon lắm nhé các bạn đừng mua nhé vì mua rồi nó ngon nắm nhé các ae của tôi,1,tích cực,chất_lượng lượng sản_phẩm ngon_tuyeetj vậy đúng với mô_tả ngon lắm nhé các bạn đừng mua nhé vì mua rồi nó ngon nắm nhé các ae của tôi,chất_lượng lượng sản_phẩm ngo@@ n_t@@ uy@@ e@@ et@@ j vậy đúng với mô_tả ngon lắm nhé các bạn đừng mua nhé vì mua rồi nó ngon nắm nhé các ae của tôi,all_bad_reviews
"Sản phẩm tốt, phù hợp giá tiền, giao hàng nhanh, đóng gói cẩn thận","sản_phẩm tốt , phù_hợp giá tiền , giao hàng nhanh , đóng_gói cẩn_thận",5,tích cực,"sản_phẩm tốt , phù_hợp giá tiền , giao hàng nhanh , đóng_gói cẩn_thận","sản_phẩm tốt , phù_hợp giá tiền , giao hàng nhanh , đóng_gói cẩn_thận",all_good_reviews
"Áo đẹp, vải miễn chê, đã mua nhìu làn ở shop. Shop là chỗ bán áo kirkland uy tín nhất.! Sẽ ủng hộ thêm nhìu! Cảm oen shop","áo đẹp , vải miễn_chê , đã mua nhìu làn ở shop . shop là chỗ bán áo kirkland uy_tín nhất . ! sẽ ủng_hộ thêm nhìu !_cảm oen shop",5,tích cực,"áo đẹp , vải miễn_chê , đã mua nhìu làn ở shop . shop là chỗ bán áo kirkland uy_tín nhất . ! sẽ ủng_hộ thêm nhìu !__cảm oen shop","áo đẹp , vải miễn_@@ chê , đã mua nh@@ ìu làn ở shop . shop là chỗ bán áo kir@@ k@@ land uy_tín nhất . ! sẽ ủng_hộ thêm nh@@ ìu !@@ _@@ cảm o@@ en shop",all_good_reviews
"Khăn giấy chất lượng cao, Kích thước gói tiện lợi, Nhẹ nhàng trên da, giấy dài sử dụng tốt, thích hợp lau trên nhiều bề mặt khác nhau","khăn giấy chất_lượng lượng cao , kích_thước gói tiện_lợi , nhẹ_nhàng trên da , giấy dài sử_dụng tốt , thích_hợp lau trên nhiều bề_mặt_khác nhau",5,tích cực,"khăn giấy chất_lượng_lượng cao , kích_thước gói tiện_lợi , nhẹ_nhàng trên da , giấy dài sử_dụng tốt , thích_hợp_lau trên nhiều bề_mặt_khác nhau","khăn giấy chất_lượng lượng cao , kích_thước gói tiện_lợi , nhẹ_nhàng trên da , giấy dài sử_dụng tốt , thích_hợp lau trên nhiều bề_@@ mặt_khác nhau",all_reviews
